strategy,molecule_a,molecule_b,condition,assay_id,a_ic50_nM,a_relation,b_ic50_nM,b_relation,within_pair_abs_log10_gap,readout,selection_status
first_potency,CHEMBL1738797,CHEMBL3735401,F1174L,CHEMBL3748822,3.0,=,2.0,=,0.176091,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,L1196M,CHEMBL3748823,90.0,=,58.0,=,0.190815,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,L1152R,CHEMBL3748824,169.0,=,196.0,=,0.064369,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,1151Tins,CHEMBL3748825,72.0,=,107.0,=,0.172051,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,G1202R,CHEMBL3748826,207.0,=,2.0,=,2.014940,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,G1269A,CHEMBL3748827,9.0,=,3.0,=,0.477121,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,S1206Y,CHEMBL3748828,2.0,=,2.0,=,0.000000,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
first_potency,CHEMBL1738797,CHEMBL3735401,parental_BaF3,CHEMBL3748829,1000.0,>,591.0,=,,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,WT,CHEMBL3748820,5.0,=,2.0,=,0.397940,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,C1156Y,CHEMBL3748821,3.0,=,2.0,=,0.176091,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,F1174L,CHEMBL3748822,12.0,=,2.0,=,0.778151,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,L1196M,CHEMBL3748823,3.0,=,10.0,=,0.522879,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,L1152R,CHEMBL3748824,2300.0,=,695.0,=,0.519743,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,1151Tins,CHEMBL3748825,142.0,=,53.0,=,0.428012,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,G1202R,CHEMBL3748826,56.0,=,214.0,=,0.582226,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,G1269A,CHEMBL3748827,2.0,=,3.0,=,0.176091,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,S1206Y,CHEMBL3748828,12.0,=,2.0,=,0.778151,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
geometric_mean_potency,CHEMBL3397300,CHEMBL3746665,parental_BaF3,CHEMBL3748829,1921.0,=,6255.0,=,0.512700,"Ba/F3 72h MTS growth/viability IC50, not direct ALK target engagement",not_used_for_pair_selection
